DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2015,1.33,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2016,1.38,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2017,1.35,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2018,1.35,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2019,1.34,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2020,1.39,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2021,1.43,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2022,1.32,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EL,2023,1.26,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2012,1.32,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2013,1.27,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2014,1.32,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2015,1.33,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2016,1.33,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2017,1.31,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2018,1.26,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2019,1.23,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2020,1.18,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2021,1.18,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2022,1.16,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,ES,2023,1.12,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2012,1.54,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2013,1.51,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2014,1.54,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2015,1.54,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2016,1.57,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2017,1.56,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2018,1.54,ep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2019,1.53,bep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2020,1.51,bep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2021,1.53,ep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2022,1.46,bep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,EU27_2020,2023,1.38,bep,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2012,1.80,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2013,1.75,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2014,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2015,1.65,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2016,1.57,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2017,1.49,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2018,1.41,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2019,1.35,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2020,1.37,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2021,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2022,1.32,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FI,2023,1.26,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2012,2.01,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2013,1.99,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2014,2.00,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2015,1.96,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2016,1.92,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2017,1.89,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2018,1.87,p,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2019,1.86,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2020,1.82,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2021,1.83,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2022,1.78,p,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FR,2023,1.66,p,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,FX,2012,1.99,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2014,1.97,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2015,2.21,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2016,2.23,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2017,2.14,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2018,2.09,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2019,2.02,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2020,1.98,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2022,1.83,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,GE,2023,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2012,1.51,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2013,1.47,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2014,1.47,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2015,1.42,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2016,1.44,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2017,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2018,1.53,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2019,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2020,1.56,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2021,1.63,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2022,1.53,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HR,2023,1.47,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2012,1.34,b,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2013,1.36,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2014,1.45,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2015,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2016,1.55,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2017,1.56,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2018,1.57,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2019,1.58,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2020,1.61,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2021,1.63,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2022,1.57,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,HU,2023,1.55,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2012,1.98,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2013,1.93,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2014,1.89,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2015,1.85,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2016,1.81,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2017,1.76,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2018,1.74,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2019,1.69,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2020,1.60,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2021,1.72,,
